IATA Codes
AVL
BAB
BAD
BDL
BFI
BGR
BHM
BIL
BLV
BMI
BNA
BOI
BOS
BUF
BWI
CAE
CBM
CHA
CHS
CID
CLE
CLT
CMH
COS
CRP
CRW
CVG
CVS
DAB
DAL
DAY
DBQ
DCA
DEN
DFW
DLF
DLH
DOV
DSM
DTW
DYS
EDW
END
ERI
EWR
FFO
FLL
FSM
FTW
FWA
GEG
GPT
GRB
GSB
GSO
GSP
GUS
HIB
HMN
HOU
HSV
HTS
IAD
IAH
ICT
IND
JAN
JAX
JFK
JLN
LAS
LAX
LBB
LCK
LEX
LFI
LFT
LGA
LIT
LTS
LUF
MBS
MCF
MCI
MCO
MDW
MEM
MGE
MGM
MHT
MIA
MKE
MLI
MLU
MOB
MSN
MSP
MSY
MUO
OAK
OKC
OMA
ONT
ORD
ORF
PAM
PBI
PDX
PHF
PHL
PHX
PIA
PIT
PVD
PWM
RDU
RFD
RIC
RND
RNO
ROA
ROC
RST
RSW
SAN
SAT
SAV
SBN
SDF
SEA
SFB
SFO
SGF
SJC
SKA
SLC
SMF
SNA
SPI
SPS
SRQ
SSC
STL
SUS
SUU
SUX
SYR
SZL
TCM
TIK
DLC
LLI
MKS
ETE
NDM
MUJ
MTF
EGL
NEJ
NEK
PWI
SXU
SKR
SZE
TIE
WAC
WRA
HAY
HAZ
GID
KRE
ALU
BIB
CXN
BSY
HCM
BSA
GSR
LGX
BLW
CMO
GLK
CMS
ERA
BUO
GGR
AII
MHI
OBC
TDJ
SEW
EMY
SQK
DAK
UVL
HEO
GSQ
ELT
TES
HPV
HIL
HKB
EYS
KLK
GAS
HOA
GGM
ILU
KEY
LOY
NDE
RBT
OYL
NYE
NUU
UAS
UKA
TOB
HUQ
ZIS
WAX
EDQ
HNE
HOO
HRC
BTQ
RHG
ATB
EDB
RSS
GSU
DNX
EGN
HEG
HSJ
GBU
KST
KDX
RBX
NUD
UYL
NHF
WHF
DNI
ZLX
BKZ
TKQ
KIY
LDI
HTM
MFA
MWN
XMI
QSI
MUZ
NCH
JOM
SEU
SGX
SUT
SHY
TBO
JIN
PAF
KSE
MBQ
KCU
TRY
HWA
IBI
ICO
PPJ
JBB
BWX
BXW
AAS
AGD
AKQ
AYW
BJG
BXM
DRH
ELR
EWE
FOO
GAV
IUL
KBF
KBX
KCD
KCI
KEA
KMM
KOD
KRC
KWB
LLN
LWE
LYK
MJY
MPT
MSI
MUF
NAF
OBD
PUM
PWL
RAQ
RKI
RTI
RUF
RZS
SAE
TBM
TMY
ZEG
IDN
IMA
IMG
VDY
JGB
NVY
RJI
TEI
INE
IOK
IOP
KHA
GSM
ITK
IVI
JIC
JIO
JLA
JOP
JUH
AMK
BDX
EUE
KPT
RLA
FID
HUD
TWD
MVM
HCC
AHD
GCW
CKE
ROF
CNE
COP
CIL
IRB
GNF
CHZ
LTW
AHF
PCT
CTO
NRI
GTP
NLE
GCD
VLE
FPY
NTJ
SBO
JVI
UCE
GOL
KKT
PRW
EGP
BLD
MFH
ECA
FMU
OTS
ROL
CTK
WPO
ATE
QWG
ASQ
AAF
ACB
ADG
ADT
ADM
ADS
AEL
KAF
AFF
WSG
AFN
AFO
AGO
AHC
AHH
AIA
AID
AIK
AIO
AIV
AIZ
AKO
ALX
AMN
AMW
SLT
ANP
ANQ
ANW
ANY
AOH
APC
APH
APT
APV
KAQ
ARB
ARG
WHT
AUZ
ARV
BFT
SPZ
ASH
ASL
ASN
ASX
ASY
ATS
ATW
AUM
AUN
AUO
AVO
AVW
AVX
AWM
AXG
AXS
AXV
AXX
AYS
TUH
BAM
BBB
BTN
BBW
BCB
BCT
BDG
WBU
BEC
BEH
BFR
BGD
BGE
BID
BIE
BJJ
BKD
BKT
BKX
BLM
BLU
KBM
BMC
BML
BMT
BNG
BNL
BNW
BOW
HCA
BRY
BTF
TTO
BTP
BTY
BUB
BUM
BVO
MVW
BVX
BWC
BWD
WAH
BWM
BXA
BXK
BYG
BBC
XES
PLY
CLG
CAD
CIG
CAO
CBE
CBF
CBK
CCB
CCR
LLX
CDH
CDN
CDW
CEA
CEU
CEV
CEY
CEZ
CFD
TZC
CFT
CFV
CGE
CGS
CGZ
CHK
CIC
CIN
CIR
CKA
GRM
CKM
CKN
CKV
KCL
CLI
CLK
CLR
CLS
CLW
CMY
CNH
CNK
CNO
CNW
CNY
COI
COM
COT
CPM
CPS
HCW
KCR
CRO
CRS
CRT
CRX
CSM
CSQ
CTY
CTZ
CUH
CKK
CVN
KIP
CWF
CWI
CXL
CSN
HAR
CZT
VEX
DBN
DCU
DEH
DFI
DGL
DGW
DKK
DLL
DLN
DMO
DNN
DNS
DNV
KDP
DPG
KDQ
DRE
DRO
KDS
DSV
DTA
DTL
DTN
DSI
DUA
DUC
DVL
DVN
NOT
NSL
DVT
DWH
DXR
DYL
JJM
VPG
ANA
KRV
KIU
LBK
LBN
LKU
MRE
MUM
MIF
CCG
ESO
WTR
ALE
BGT
EAN
EAR
KEB
EBS
ECS
EDE
ETS
EFK
EFW
KEG
EGV
KEK
EKI
EKX
ELA
ELK
ELN
ELZ
EMM
EMP
EMT
ENL
EOK
EPH
EDK
ERR
ERV
ESC
ESN
EST
ESW
ETB
ETN
EUF
EVM
EWK
KEX
WIB
RBK
FAM
FBL
FBR
FBY
FCH
FCM
FCY
FDK
FDR
FEP
FET
FFA
FFL
FFM
FFT
MSC
FRD
FKN
FLD
FLP
FLV
FLX
FMH
FNL
FOK
FIL
FRH
FRM
FRR
FSK
FSU
FMS
FUL
WFK
FXY
FYM
GAD
GAG
GAI
GBD
GBG
GBR
JDA
GCY
GDM
GDW
GED
GEY
GGE
GHM
GIF
MEJ
GKT
GLE
GLR
GLW
GNG
GNT
GOK
GPZ
GQQ
GRD
GRE
GRN
GSH
GTG
GUC
GVL
GVT
KGW
GWS
KGX
GXY
GDC
PNX
GYR
KGZ
HAB
HAF
HAI
HAO
HDE
HDN
